uid,isFraud
10169_122.0,0
10169_132.0,0
10169_186.0,0
10169_205.0,0
10169_213.0,0
10169_217.0,0
10169_218.0,0
10169_220.0,0
10169_224.0,0
10169_225.0,0
10169_226.0,1
10169_231.0,0
10169_237.0,0
10169_245.0,0
10169_247.0,0
10169_256.0,0
10169_260.0,0
10169_264.0,0
10169_266.0,0
10169_267.0,0
10169_270.0,0
10169_275.0,0
10169_276.0,0
10169_281.0,0
10169_282.0,0
10169_283.0,1
10169_288.0,0
10169_291.0,0
10169_299.0,0
10169_303.0,0
10169_306.0,0
10169_310.0,0
10169_316.0,0
10169_317.0,1
10169_319.0,0
10169_320.0,0
10169_323.0,0
10169_330.0,0
10169_331.0,0
10169_333.0,0
10169_334.0,0
10169_336.0,0
10169_338.0,0
10169_342.0,0
10169_347.0,0
10169_349.0,0
10169_351.0,0
10169_355.0,0
10169_356.0,1
10169_360.0,0
10169_364.0,0
10169_367.0,0
10169_368.0,0
10169_371.0,0
10169_377.0,0
10169_379.0,0
10169_380.0,1
10169_382.0,0
10169_383.0,0
10169_384.0,0
10169_385.0,0
10169_386.0,0
10169_387.0,0
10169_389.0,0
10169_390.0,0
10169_391.0,0
10169_75.0,0
10169_79.0,0
10169_87.0,0
10170_323.0,0
10170_352.0,0
10170_372.0,0
10172_345.0,0
10174_234.0,0
10178_312.0,0
1017_257.0,0
1017_302.0,0
1017_321.0,0
1017_341.0,0
1017_88.0,0
10180_267.0,0
10181_364.0,0
10182_371.0,0
10183_274.0,0
10183_386.0,1
10184_366.0,0
10184_375.0,0
10185_283.0,0
10186_178.0,0
10186_218.0,0
10186_226.0,0
10186_228.0,0
10186_283.0,0
10186_311.0,0
10186_327.0,0
10186_344.0,1
10189_358.0,1
10189_383.0,0
1018_145.0,0
1018_343.0,1
1018_386.0,0
10191_244.0,0
10191_315.0,1
10192_251.0,1
10192_337.0,0
10192_360.0,0
10192_395.0,0
10193_243.0,0
10194_224.0,0
10194_390.0,0
10195_386.0,1
10196_379.0,0
10197_383.0,0
10198_281.0,0
10198_308.0,0
1019_242.0,0
1019_260.0,0
1019_272.0,0
1019_370.0,0
1019_385.0,0
1019_49.0,0
10202_215.0,0
10204_-161.0,0
10204_384.0,0
10206_378.0,0
10209_64.0,0
1020_279.0,0
1020_339.0,0
10210_387.0,0
10212_260.0,0
10214_255.0,0
10214_341.0,0
10214_385.0,0
10214_386.0,0
10214_391.0,0
10216_336.0,0
10217_-46.0,0
10217_295.0,0
10218_225.0,0
10218_252.0,0
10218_258.0,0
10218_288.0,0
10218_291.0,0
10219_250.0,0
10219_283.0,0
1021_253.0,0
10221_374.0,0
10222_225.0,1
10222_304.0,0
10223_-229.0,0
10223_195.0,0
10225_369.0,0
10229_218.0,1
1022_183.0,0
1022_280.0,0
1022_292.0,0
1022_345.0,0
1022_373.0,1
1022_383.0,0
1022_393.0,0
10231_356.0,0
10232_376.0,0
10233_282.0,0
10233_302.0,0
10235_372.0,0
10237_10.0,0
10237_379.0,0
10239_373.0,0
1023_120.0,0
1023_222.0,0
1023_273.0,0
1023_352.0,0
10240_278.0,0
10241_229.0,0
10241_361.0,0
10242_241.0,0
10242_248.0,0
10242_367.0,0
10243_343.0,0
10244_392.0,0
10246_390.0,0
10247_262.0,0
10247_344.0,0
10248_229.0,0
10249_323.0,0
10249_384.0,0
10250_316.0,0
10251_385.0,0
10255_243.0,0
10255_393.0,0
10256_218.0,0
10257_340.0,0
10257_357.0,0
10258_387.0,0
1025_-51.0,0
1025_248.0,0
10261_22.0,0
10261_392.0,0
10263_389.0,0
10265_390.0,0
10268_22.0,0
1026_57.0,0
10271_257.0,0
10271_389.0,0
10273_353.0,0
10275_379.0,0
10276_249.0,1
10276_357.0,0
10277_391.0,0
10278_190.0,0
10278_356.0,0
10279_-271.0,0
10279_-307.0,0
10279_-322.0,0
10279_-346.0,0
10279_-353.0,0
10279_-357.0,0
10279_-391.0,0
10279_-418.0,0
10279_123.0,0
10279_233.0,0
10279_284.0,0
10279_286.0,0
10279_293.0,0
10279_315.0,0
10279_376.0,0
10279_386.0,0
10280_301.0,0
10281_342.0,0
10282_210.0,0
10282_334.0,0
10284_141.0,0
10284_343.0,0
10284_386.0,0
10285_141.0,0
10287_243.0,0
10287_248.0,0
10287_253.0,0
10287_255.0,0
10287_286.0,0
10287_385.0,1
10289_-381.0,0
10289_235.0,0
10289_386.0,0
1028_25.0,0
10290_234.0,0
10291_251.0,0
10291_375.0,0
10293_288.0,0
10293_316.0,0
10294_-402.0,0
10294_340.0,0
10295_-227.0,0
10295_-267.0,0
10295_-280.0,0
10295_-297.0,0
10295_-337.0,0
10295_-360.0,0
10297_251.0,0
10298_-141.0,0
10299_389.0,0
102_322.0,0
102_382.0,0
10300_294.0,0
10302_387.0,0
10303_358.0,0
10304_317.0,0
10304_374.0,0
10305_395.0,0
10306_-257.0,0
10306_-276.0,0
10306_127.0,0
10306_278.0,0
10306_294.0,0
10306_298.0,0
10306_320.0,0
10306_329.0,0
10307_372.0,1
10308_237.0,0
1030_383.0,1
10310_376.0,0
10311_218.0,0
10312_-164.0,0
10312_205.0,0
10312_238.0,1
10312_239.0,0
10312_254.0,0
10312_285.0,0
10312_30.0,0
10312_320.0,0
10312_332.0,1
10312_334.0,0
10312_394.0,0
10314_350.0,0
10315_328.0,0
10315_365.0,0
10315_376.0,0
10316_-101.0,0
10316_-109.0,0
10316_-136.0,0
10316_-149.0,0
10316_-178.0,0
10316_-195.0,0
10316_-20.0,0
10316_-227.0,0
10316_-248.0,0
10316_-280.0,0
10316_-30.0,0
10316_-42.0,0
10316_107.0,0
10316_132.0,0
10316_177.0,0
10316_183.0,0
10316_194.0,0
10316_200.0,0
10316_208.0,0
10316_231.0,0
10316_239.0,0
10316_244.0,0
10316_248.0,0
10316_251.0,0
10316_253.0,0
10316_256.0,0
10316_268.0,0
10316_269.0,0
10316_276.0,0
10316_280.0,0
10316_283.0,0
10316_284.0,0
10316_286.0,0
10316_293.0,0
10316_299.0,0
10316_306.0,0
10316_308.0,0
10316_315.0,0
10316_316.0,0
10316_336.0,0
10316_339.0,0
10316_361.0,0
10316_369.0,0
10316_371.0,0
10316_372.0,0
10316_378.0,0
10316_379.0,0
10316_389.0,0
10316_394.0,0
10316_395.0,1
10318_107.0,0
10318_116.0,0
10318_213.0,0
10318_238.0,0
10318_267.0,0
10318_286.0,0
10318_294.0,0
10318_305.0,0
10318_307.0,0
10318_372.0,0
10318_379.0,0
10318_386.0,0
10319_237.0,0
10320_-80.0,0
10320_175.0,0
10320_351.0,0
10320_62.0,0
10321_213.0,0
10322_195.0,0
10322_229.0,1
10322_276.0,0
10322_308.0,0
10322_333.0,0
10322_368.0,0
10322_381.0,0
10323_239.0,0
10325_237.0,0
10326_379.0,0
10327_-280.0,0
10327_-296.0,0
10327_-316.0,0
10327_-336.0,0
10327_-352.0,0
10327_-379.0,0
10328_-164.0,0
10329_214.0,0
1032_388.0,0
10331_364.0,0
10334_303.0,0
10335_237.0,0
10336_374.0,0
10337_297.0,0
10337_368.0,0
10337_374.0,0
10338_198.0,0
10338_213.0,0
10339_276.0,0
1033_384.0,0
10340_-6.0,0
10340_278.0,0
10340_286.0,0
10340_328.0,0
10340_387.0,0
10341_176.0,0
10342_241.0,0
10346_338.0,0
10347_182.0,0
10347_243.0,0
10347_254.0,0
10347_299.0,0
10347_309.0,0
10347_316.0,0
10347_324.0,0
10347_351.0,0
10347_393.0,0
10348_317.0,0
10348_353.0,0
10349_249.0,0
10349_306.0,0
10349_369.0,0
1034_331.0,0
1034_373.0,0
1034_384.0,0
10350_18.0,0
10350_228.0,0
10350_267.0,0
10350_310.0,0
10350_373.0,0
10350_378.0,0
10352_298.0,0
10352_388.0,0
10355_292.0,0
10355_345.0,0
10356_137.0,0
10356_213.0,0
10356_318.0,0
10357_224.0,0
10357_229.0,0
10357_389.0,0
10358_253.0,0
10358_337.0,0
10358_351.0,0
10359_275.0,0
10359_308.0,0
10359_393.0,0
1035_222.0,0
1035_287.0,0
1035_375.0,0
10360_-234.0,0
10360_-253.0,0
10360_-273.0,0
10361_330.0,0
10362_367.0,0
10363_247.0,0
10364_289.0,0
10365_302.0,0
10367_364.0,0
10369_378.0,0
10370_-112.0,0
10370_247.0,0
10371_305.0,0
10371_336.0,0
10371_344.0,0
10372_212.0,0
10372_42.0,0
10373_270.0,0
10373_303.0,0
10374_141.0,0
10374_275.0,0
10374_329.0,0
10374_373.0,0
10374_47.0,0
10375_339.0,0
10378_-11.0,0
10378_-118.0,0
10378_239.0,0
10378_245.0,0
10378_305.0,0
10378_324.0,0
10378_368.0,0
10379_342.0,1
1037_229.0,1
10380_276.0,1
10381_325.0,0
10382_379.0,0
10383_228.0,1
10383_233.0,0
10383_288.0,0
10383_330.0,1
10384_329.0,0
10385_169.0,0
10386_152.0,0
10386_276.0,0
10386_336.0,0
10389_-8.0,0
10389_101.0,0
10389_110.0,0
10389_111.0,0
10389_12.0,0
10389_129.0,0
10389_133.0,0
10389_139.0,0
10389_145.0,0
10389_156.0,0
10389_161.0,0
10389_167.0,0
10389_180.0,0
10389_181.0,0
10389_185.0,0
10389_190.0,0
10389_2.0,0
10389_200.0,0
10389_210.0,0
10389_212.0,0
10389_213.0,0
10389_214.0,0
10389_215.0,0
10389_221.0,0
10389_224.0,0
10389_225.0,0
10389_226.0,0
10389_229.0,0
10389_23.0,0
10389_233.0,0
10389_234.0,0
10389_235.0,0
10389_239.0,0
10389_240.0,0
10389_244.0,0
10389_246.0,0
10389_247.0,0
10389_252.0,0
10389_254.0,0
10389_258.0,0
10389_259.0,0
10389_260.0,0
10389_261.0,0
10389_265.0,0
10389_267.0,0
10389_268.0,0
10389_270.0,0
10389_271.0,0
10389_272.0,0
10389_275.0,0
10389_279.0,0
10389_282.0,0
10389_283.0,0
10389_284.0,0
10389_285.0,0
10389_286.0,0
10389_288.0,0
10389_289.0,0
10389_292.0,0
10389_295.0,0
10389_296.0,0
10389_299.0,0
10389_300.0,0
10389_302.0,0
10389_309.0,0
10389_310.0,0
10389_316.0,0
10389_319.0,0
10389_320.0,0
10389_321.0,0
10389_322.0,0
10389_327.0,0
10389_328.0,0
10389_331.0,0
10389_332.0,0
10389_338.0,0
10389_339.0,0
10389_340.0,0
10389_343.0,0
10389_344.0,0
10389_345.0,0
10389_347.0,0
10389_349.0,0
10389_351.0,0
10389_352.0,0
10389_353.0,0
10389_355.0,0
10389_356.0,0
10389_357.0,0
10389_358.0,0
10389_365.0,0
10389_367.0,0
10389_368.0,0
10389_369.0,0
10389_371.0,0
10389_373.0,1
10389_374.0,0
10389_375.0,0
10389_377.0,0
10389_378.0,0
10389_380.0,0
10389_382.0,0
10389_383.0,0
10389_385.0,0
10389_386.0,0
10389_387.0,0
10389_388.0,0
10389_389.0,0
10389_390.0,0
10389_391.0,0
10389_392.0,0
10389_393.0,0
10389_394.0,0
10389_395.0,0
10389_94.0,0
10390_232.0,0
10390_349.0,0
10392_203.0,0
10393_372.0,0
10395_131.0,0
10396_393.0,0
10398_383.0,0
1039_105.0,0
103_388.0,0
10400_368.0,0
10401_320.0,0
10401_357.0,0
10401_382.0,0
10402_328.0,1
10404_383.0,0
10405_245.0,1
10408_259.0,0
10410_-3.0,0
10411_266.0,0
10412_256.0,0
10412_336.0,0
10413_211.0,0
10414_388.0,0
10419_332.0,0
1041_250.0,1
1041_319.0,0
1041_386.0,0
1041_85.0,0
10420_267.0,0
10422_255.0,0
10422_385.0,0
10422_389.0,0
10424_-167.0,0
10424_215.0,0
10424_264.0,0
10424_266.0,0
10424_273.0,1
10424_282.0,0
10424_349.0,1
10424_359.0,0
10424_369.0,0
10424_370.0,0
10424_373.0,0
10424_389.0,0
10425_386.0,0
10426_238.0,1
10426_242.0,1
10429_-18.0,0
10429_229.0,0
1042_280.0,0
10430_388.0,0
10432_-307.0,0
10432_-367.0,0
10433_389.0,0
10434_310.0,0
10434_62.0,0
10437_-2.0,0
10437_-273.0,0
10437_-304.0,0
10437_-318.0,0
10437_-331.0,0
10437_-341.0,0
10437_-368.0,0
10437_-403.0,0
10437_137.0,0
10437_217.0,0
10437_229.0,0
10437_241.0,0
10437_247.0,0
10437_265.0,0
10437_267.0,0
10437_269.0,0
10437_279.0,0
10437_285.0,0
10437_294.0,0
10437_327.0,0
10437_344.0,0
10437_354.0,0
10437_359.0,0
10437_360.0,0
10437_361.0,0
10437_362.0,0
10437_364.0,0
10437_373.0,0
10437_378.0,0
10437_382.0,0
10437_385.0,0
10437_388.0,1
10437_389.0,0
10437_390.0,0
10441_228.0,0
10441_251.0,0
10441_271.0,0
10441_273.0,0
10441_354.0,0
10441_362.0,0
10441_363.0,0
10442_385.0,0
10444_287.0,0
10445_-226.0,0
10445_152.0,0
10445_174.0,1
10445_249.0,1
10445_307.0,0
10445_354.0,0
10445_389.0,0
10446_308.0,0
10446_327.0,0
10447_354.0,0
10448_-28.0,0
10449_-102.0,0
10449_-22.0,0
10449_-363.0,0
10449_-372.0,0
10449_174.0,0
10449_21.0,0
10449_219.0,0
10449_223.0,0
10449_228.0,0
10449_258.0,0
10449_288.0,0
10449_297.0,0
10449_307.0,0
10449_309.0,0
10449_324.0,0
10449_334.0,0
10449_335.0,0
10449_338.0,0
10449_369.0,0
10449_378.0,0
10449_379.0,0
10449_386.0,0
10449_388.0,0
10449_389.0,0
10449_390.0,0
10451_277.0,0
10452_-122.0,0
10452_-20.0,0
10452_-224.0,0
10452_-363.0,0
10452_-69.0,0
10452_123.0,0
10452_204.0,0
10452_227.0,0
10452_231.0,0
10452_235.0,0
10452_237.0,0
10452_252.0,0
10452_256.0,0
10452_265.0,0
10452_277.0,0
10452_290.0,0
10452_295.0,0
10452_300.0,0
10452_302.0,0
10452_315.0,1
10452_326.0,0
10452_328.0,0
10452_338.0,0
10452_351.0,0
10452_354.0,0
10452_357.0,1
10452_362.0,0
10452_363.0,0
10452_365.0,0
10452_368.0,0
10452_381.0,0
10452_383.0,0
10452_388.0,0
10452_389.0,0
10452_39.0,0
10452_390.0,0
10452_41.0,0
10453_220.0,0
10456_373.0,0
10458_363.0,0
10460_376.0,0
10461_245.0,0
10461_362.0,0
10461_383.0,0
10462_361.0,0
10463_348.0,0
10464_388.0,0
10465_389.0,0
10467_309.0,0
10469_20.0,0
10470_306.0,0
10472_381.0,0
10473_375.0,0
10474_378.0,0
10475_-225.0,0
10475_-260.0,0
10475_-38.0,0
10475_-86.0,0
10475_146.0,0
10475_153.0,0
10475_175.0,0
10475_202.0,0
10475_215.0,0
10475_228.0,1
10475_241.0,0
10475_244.0,0
10475_247.0,0
10475_261.0,0
10475_268.0,0
10475_284.0,0
10475_287.0,1
10475_290.0,0
10475_295.0,0
10475_301.0,0
10475_310.0,0
10475_313.0,0
10475_315.0,0
10475_316.0,0
10475_324.0,0
10475_329.0,1
10475_348.0,0
10475_352.0,0
10475_355.0,0
10475_364.0,0
10475_367.0,0
10475_368.0,1
10475_369.0,0
10475_37.0,0
10475_379.0,1
10475_385.0,0
10475_386.0,0
10475_388.0,0
10476_-173.0,0
10477_357.0,0
10478_-12.0,0
10478_386.0,0
10479_389.0,0
1047_193.0,0
1047_233.0,0
1047_255.0,0
1047_257.0,0
10485_20.0,0
10487_238.0,0
10487_266.0,0
10487_328.0,0
10487_99.0,0
10488_-240.0,0
10488_208.0,0
10488_238.0,0
10488_298.0,0
10488_300.0,0
10488_303.0,0
10488_347.0,0
10488_369.0,0
10488_373.0,0
10488_379.0,0
10488_393.0,0
10488_85.0,0
10489_99.0,0
10491_335.0,0
10492_373.0,0
10493_388.0,0
10497_216.0,0
104_232.0,0
10503_-190.0,0
10503_105.0,0
10503_365.0,0
10503_381.0,0
10504_318.0,0
10505_195.0,0
10505_350.0,0
10507_329.0,0
10507_330.0,0
1050_320.0,0
1050_38.0,0
10510_265.0,0
10511_-69.0,0
10511_118.0,0
10511_42.0,0
10512_-110.0,0
10512_-244.0,0
10512_-7.0,0
10512_-94.0,0
10512_189.0,0
10512_195.0,0
10512_2.0,0
10512_222.0,0
10512_232.0,1
10512_235.0,0
10512_237.0,0
10512_248.0,1
10512_256.0,0
10512_264.0,0
10512_276.0,0
10512_279.0,0
10512_308.0,1
10512_321.0,0
10512_325.0,0
10512_384.0,0
10512_385.0,0
10512_390.0,0
10512_50.0,0
10513_382.0,0
10514_345.0,0
10516_393.0,0
10517_294.0,0
10519_321.0,1
1051_374.0,0
10521_291.0,0
10521_325.0,0
10523_19.0,0
10523_245.0,0
10523_363.0,0
10524_388.0,0
10527_320.0,0
10528_269.0,0
1052_378.0,0
10530_378.0,0
10531_387.0,0
10534_383.0,0
10535_393.0,0
10536_377.0,0
10537_260.0,0
10537_364.0,0
10539_320.0,0
1053_307.0,0
10541_379.0,0
10543_385.0,0
10547_-180.0,0
10547_-36.0,0
10547_296.0,0
10547_312.0,0
10547_313.0,0
10548_373.0,0
10549_248.0,0
10549_326.0,0
10549_353.0,0
10549_384.0,0
10549_394.0,0
1054_386.0,0
10550_305.0,0
10550_385.0,0
10550_389.0,0
10551_337.0,0
10554_-249.0,0
10554_-268.0,0
10554_334.0,0
10556_339.0,0
10559_372.0,1
10562_306.0,0
10564_369.0,0
10564_370.0,0
10565_100.0,0
10566_228.0,0
10567_-273.0,0
10567_114.0,0
10567_208.0,0
10567_289.0,0
10567_347.0,0
10567_358.0,0
10567_370.0,0
10567_381.0,0
10568_-221.0,0
10568_-254.0,0
10568_-277.0,0
10568_-278.0,0
10568_-288.0,0
10568_-289.0,0
10568_-316.0,0
10568_-67.0,0
10568_1.0,0
10568_120.0,0
10568_146.0,0
10568_167.0,0
10568_193.0,0
10568_207.0,0
10568_210.0,0
10568_224.0,0
10568_227.0,0
10568_236.0,0
10568_250.0,0
10568_251.0,0
10568_256.0,0
10568_258.0,0
10568_260.0,0
10568_272.0,0
10568_285.0,0
10568_286.0,0
10568_291.0,0
10568_293.0,0
10568_298.0,0
10568_299.0,0
10568_312.0,0
10568_313.0,0
10568_318.0,0
10568_326.0,0
10568_327.0,0
10568_331.0,0
10568_338.0,0
10568_346.0,0
10568_347.0,0
10568_349.0,0
10568_350.0,0
10568_351.0,0
10568_353.0,0
10568_36.0,0
10568_364.0,0
10568_373.0,0
10568_374.0,0
10568_377.0,0
10568_390.0,0
10568_93.0,0
10568_96.0,0
10569_216.0,0
1056_-196.0,0
10570_109.0,0
10570_351.0,0
10570_384.0,0
10571_246.0,0
10571_383.0,0
10573_19.0,0
10573_312.0,0
10575_249.0,0
10576_-372.0,0
10576_-407.0,0
10576_260.0,0
10576_294.0,0
10576_295.0,0
10576_305.0,0
10576_365.0,0
10576_391.0,0
10576_393.0,0
10577_-1.0,0
10577_-375.0,0
10577_154.0,0
10577_180.0,0
10577_242.0,0
10577_244.0,0
10577_269.0,0
10577_281.0,0
10577_88.0,0
10578_289.0,0
1057_250.0,0
1057_277.0,0
10581_253.0,0
10581_273.0,0
10581_308.0,0
10581_338.0,0
10581_364.0,0
10582_229.0,1
10582_297.0,0
10582_321.0,0
10584_346.0,0
10585_294.0,0
10588_-286.0,0
10588_291.0,0
10589_380.0,0
10590_-237.0,0
10590_-311.0,0
10590_-331.0,0
10590_137.0,0
10590_269.0,0
10590_271.0,0
10590_313.0,0
10590_362.0,0
10590_383.0,0
10590_390.0,0
10591_-104.0,0
10592_-148.0,0
10592_-189.0,0
10592_-265.0,0
10592_-294.0,0
10592_-387.0,0
10592_153.0,0
10592_166.0,0
10592_193.0,0
10592_279.0,1
10592_328.0,0
10592_362.0,0
10592_374.0,0
10592_375.0,0
10592_380.0,0
10595_-10.0,0
10595_-150.0,0
10595_-222.0,0
10595_-242.0,0
10595_-244.0,0
10595_-248.0,0
10595_-250.0,0
10595_-256.0,0
10595_-264.0,0
10595_-270.0,0
10595_-271.0,0
10595_-278.0,0
10595_-283.0,0
10595_-292.0,0
10595_-296.0,0
10595_-298.0,0
10595_-301.0,0
10595_-305.0,0
10595_-310.0,0
10595_-312.0,0
10595_-315.0,0
10595_-318.0,0
10595_-323.0,0
10595_-326.0,0
10595_-333.0,0
10595_-341.0,0
